rms1,rms2,rms3,corr12,corr13,corr23,plv_low_12,plv_mid_23,plv_high_13,pac_low_high_13,pac_low_mid_12,g12,g13,g23,lam
0.0012517973644853033,9.37703059244239e-06,1.3933136681706199e-06,-0.7552677377654239,-0.9914958130976472,0.7855286433532664,1.0,1.0,1.0,0.02717947921576621,0.043966696893368115,0.0,0.0,0.0,0.0
0.0012517973644695047,9.377030413912247e-06,1.3933141882271898e-06,-0.7552677794899461,-0.9914958332724186,0.7855287744386882,1.0,1.0,1.0,0.027217507900682662,0.043445304610143086,0.0,0.0,0.0,0.01
0.0012517973644379954,9.377030056852886e-06,1.3933152283527704e-06,-0.7552678629387485,-0.9914958736215654,0.7855290366082346,1.0,1.0,1.0,0.02722119231363552,0.04330126263288547,0.0,0.0,0.0,0.03
0.0012517973644853033,9.374866958720976e-06,1.3917531331761135e-06,-0.7556224730628883,-0.9915682543648162,0.7847597566563345,1.0,1.0,1.0,0.027178841524719336,0.043969992546415065,0.0,0.0,0.02,0.0
0.0012517973644695496,9.374866781663463e-06,1.3917536706374158e-06,-0.7556225143359239,-0.9915682745944723,0.7847598888599218,1.0,1.0,1.0,0.02720774355328687,0.043158893683949574,0.0,0.0,0.02,0.01
0.0012517973644381288,9.37486642754627e-06,1.3917547455728528e-06,-0.7556225968817539,-0.9915683150533929,0.7847601532658023,1.0,1.0,1.0,0.026767860125928373,0.044794988243716215,0.0,0.0,0.02,0.03
0.0012517973644853033,9.371638010860156e-06,1.389566371247103e-06,-0.7561499106230813,-0.9916697125413072,0.7836171099813113,1.0,1.0,1.0,0.02717788531176669,0.04396751088817075,0.0,0.0,0.05,0.0
0.0012517973644695923,9.37163783600484e-06,1.3895669348007368e-06,-0.7561499512229268,-0.9916697328684899,0.7836172438187813,1.0,1.0,1.0,0.02677277246173098,0.04427789520592443,0.0,0.0,0.05,0.01
0.0012517973644383207,9.37163748629513e-06,1.3895680619203814e-06,-0.7561500324223678,-0.991669773522461,0.7836175114923999,1.0,1.0,1.0,0.027169188102952376,0.04480130955691137,0.0,0.0,0.05,0.03
0.0012517936550599197,9.377030592442442e-06,1.5742444406623416e-06,-0.755268017931922,-0.9942474024083621,0.8028564985005385,1.0,1.0,1.0,0.02716980294075079,0.043730056624481,0.0,0.02,0.0,0.0
0.001251793655045454,9.37703043834386e-06,1.574245662955456e-06,-0.7552680527315652,-0.9942474060513994,0.8028565731426666,1.0,1.0,1.0,0.048132094131174336,0.0661043621801486,0.0,0.02,0.0,0.01
0.0012517936550166368,9.377030130143176e-06,1.5742481075496969e-06,-0.7552681223306308,-0.9942474133373932,0.8028567224263479,1.0,1.0,1.0,0.027176187250104584,0.04406001829291563,0.0,0.02,0.0,0.03
0.0012517936641942317,9.374921177052549e-06,1.5758585686553222e-06,-0.7556081407247454,-0.9943388192968587,0.8023089884780963,1.0,1.0,1.0,0.027218225622739043,0.04332921667141728,0.0,0.02,0.02,0.0
0.001251793664179903,9.374921024412375e-06,1.5758598043336386e-06,-0.7556081750914889,-0.9943388229436645,0.8023090637321386,1.0,1.0,1.0,0.027281761373769003,0.0424048133859,0.0,0.02,0.02,0.01
0.001251793664151209,9.374920719132746e-06,1.5758622756989374e-06,-0.7556082438247398,-0.9943388302371966,0.802309214239629,1.0,1.0,1.0,0.026767693037192425,0.044617976581486425,0.0,0.02,0.02,0.03
0.0012517936778936448,9.371773491449875e-06,1.5784133886540488e-06,-0.7561137654814585,-0.9944708368220149,0.8014925667777213,1.0,1.0,1.0,0.027252002767565075,0.04291925949461669,0.0,0.02,0.05,0.0
0.001251793677879397,9.371773340995317e-06,1.5784146442330912e-06,-0.7561137992024168,-0.9944708404835683,0.8014926429305202,1.0,1.0,1.0,0.026767170578006323,0.04461817824163652,0.0,0.02,0.05,0.01
0.0012517936778508004,9.371773040089526e-06,1.5784171553989969e-06,-0.7561138666441025,-0.9944708478065956,0.801492795235516,1.0,1.0,1.0,0.028055978901086777,0.042773860147690156,0.0,0.02,0.05,0.03
0.0012517886057547578,9.377030592442544e-06,2.0468217852161164e-06,-0.7552685394206643,-0.994485036932375,0.8156908633019837,1.0,1.0,1.0,0.02675951536716574,0.044731634089797315,0.0,0.05,0.0,0.0
0.0012517886057424234,9.37703047498711e-06,2.046823604388688e-06,-0.7552685638331913,-0.9944850360329073,0.8156909023460338,1.0,1.0,1.0,0.027273580814409257,0.04242245093369505,0.0,0.05,0.0,0.01
0.0012517886057176297,9.377030240077488e-06,2.046827242737926e-06,-0.7552686126580214,-0.9944850342339641,0.8156909804338244,1.0,1.0,1.0,0.02720643243984615,0.04297829402570493,0.0,0.05,0.0,0.03
0.0012517886285905342,9.375002506669018e-06,2.051514162954188e-06,-0.7555867401890833,-0.9945839717483516,0.8153388279730414,1.0,1.0,1.0,0.02676471438842129,0.044404724740509764,0.0,0.05,0.02,0.0
0.0012517886285783807,9.375002390659398e-06,2.0515159889751418e-06,-0.7555867641927787,-0.9945839708130354,0.8153388672275893,1.0,1.0,1.0,0.027142804968927604,0.04452855395639765,0.0,0.05,0.02,0.01
0.0012517886285535523,9.375002158641434e-06,2.051519641020488e-06,-0.7555868121999458,-0.994583968942401,0.8153389457363703,1.0,1.0,1.0,0.027227440553977238,0.04328776117928695,0.0,0.05,0.02,0.03
0.0012517886628392527,9.371976728979235e-06,2.0586355227893407e-06,-0.7560596279439608,-0.9947290832344634,0.8148119244341095,1.0,1.0,1.0,0.02803951744716309,0.04270179675027783,0.0,0.05,0.05,0.0
