g12,g13,g23,lam,plv_low_12,plv_mid_23,plv_high_13,pac_low_high_13,pac_low_mid_12,plv_low_12_boot_mean,plv_low_12_ci_lo,plv_low_12_ci_hi,plv_mid_23_boot_mean,plv_mid_23_ci_lo,plv_mid_23_ci_hi,plv_high_13_boot_mean,plv_high_13_ci_lo,plv_high_13_ci_hi,pac_low_high_13_boot_mean,pac_low_high_13_ci_lo,pac_low_high_13_ci_hi,pac_low_mid_12_boot_mean,pac_low_mid_12_ci_lo,pac_low_mid_12_ci_hi
0.04,-0.02,0.0,0.0,1.0,1.0,1.0,0.2405228528201783,0.2851362709284337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26541167443879765,0.24702859681261938,0.29454093391507447,0.2929231053182714,0.26288641786694256,0.33595283128462433
0.04,-0.02,0.0,0.01,1.0,1.0,1.0,0.24052287694256527,0.28499915048366564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26514042847738273,0.24710192764410907,0.2929708293676819,0.29276583819153634,0.26267219252436574,0.3355172879831447
0.04,0.0,0.0,0.0,1.0,1.0,1.0,0.24047850678072105,0.2849746908574024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26396276113282746,0.247388411144246,0.29203705291008836,0.29279404542791354,0.2626721978793737,0.33592972600089105
0.04,0.0,0.0,0.01,1.0,1.0,1.0,0.240478524305909,0.2848624625925416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2638368420068322,0.24733417530689336,0.2916984352493923,0.2926437948841597,0.2626518357218991,0.33574430254076126
0.05,-0.02,0.0,0.0,1.0,1.0,1.0,0.2404751866968355,0.28499862675041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26553250091359715,0.247078922569192,0.29463926759259507,0.29002275153672796,0.26312532480607087,0.33351425224744297
0.05,-0.02,0.0,0.01,1.0,1.0,1.0,0.2406219378523933,0.28517238006953954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2654022685996451,0.24707017911331808,0.2946849714148639,0.28966262724875225,0.26311626797413035,0.33268062764790207
0.05,0.0,0.0,0.0,1.0,1.0,1.0,0.24048075149288373,0.2847840983533836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26379963741653406,0.2472259777774838,0.29232299959010827,0.2895435493036493,0.26316173149197264,0.33298823572225555
0.05,0.0,0.0,0.01,1.0,1.0,1.0,0.24048077845102167,0.2847902546548265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26410784568570317,0.24742070871630542,0.2916956459542148,0.28999207807289723,0.26287161400467957,0.3333251296122472
