plv_low_12,plv_mid_23,plv_high_13,pac_low_high_13,pac_low_mid_12,g12,g13,g23,lam,objective
1.0,1.0,1.0,0.24170762917082889,0.3072716465841245,0.04,-0.01,-0.01,0.01,3.548979275754953
1.0,1.0,1.0,0.24170762917201583,0.30727164520879396,0.04,-0.01,-0.01,0.0,3.5489792743808097
1.0,1.0,1.0,0.24170762917201583,0.30727164520879396,0.04,-0.01,-0.01,0.0,3.5489792743808097
1.0,1.0,1.0,0.24170761988836367,0.3072716068495539,0.04,-0.01,0.0,0.01,3.5489792267379174
1.0,1.0,1.0,0.24170761988937006,0.30727160526779107,0.04,-0.01,0.0,0.0,3.548979225157161
1.0,1.0,1.0,0.24170761988937006,0.30727160526779107,0.04,-0.01,0.0,0.0,3.548979225157161
1.0,1.0,1.0,0.2417076106061086,0.3072715658603088,0.04,-0.01,0.01,0.01,3.5489791764664176
1.0,1.0,1.0,0.2417076106072566,0.3072715656824802,0.04,-0.01,0.01,0.0,3.5489791762897367
1.0,1.0,1.0,0.2417076106072566,0.3072715656824802,0.04,-0.01,0.01,0.0,3.5489791762897367
1.0,1.0,1.0,0.2417074915166443,0.30727164634525433,0.04,0.0,-0.01,0.0,3.548979137861899
1.0,1.0,1.0,0.2417074915166443,0.30727164634525433,0.04,0.0,-0.01,0.0,3.548979137861899
1.0,1.0,1.0,0.24170749151556245,0.3072716459094482,0.04,0.0,-0.01,0.01,3.5489791374250106
1.0,1.0,1.0,0.2417074822330792,0.30727160794503433,0.04,0.0,0.0,0.0,3.5489790901781135
1.0,1.0,1.0,0.2417074822330792,0.30727160794503433,0.04,0.0,0.0,0.0,3.5489790901781135
1.0,1.0,1.0,0.24170748223201774,0.3072716061403932,0.04,0.0,0.0,0.01,3.548979088372411
1.0,1.0,1.0,0.24170747295006167,0.3072715668047399,0.04,0.0,0.01,0.0,3.5489790397548013
1.0,1.0,1.0,0.24170747295006167,0.3072715668047399,0.04,0.0,0.01,0.0,3.5489790397548013
1.0,1.0,1.0,0.24170747294886763,0.30727156643410813,0.04,0.0,0.01,0.01,3.5489790393829757
1.0,1.0,1.0,0.24170735384749134,0.30727164660321316,0.04,0.01,-0.01,0.0,3.5489790004507045
1.0,1.0,1.0,0.24170735384749134,0.30727164660321316,0.04,0.01,-0.01,0.0,3.5489790004507045
1.0,1.0,1.0,0.24170735384628364,0.30727164635557086,0.04,0.01,-0.01,0.01,3.5489790002018546
1.0,1.0,1.0,0.24170734456293982,0.3072716067920009,0.04,0.01,0.0,0.0,3.5489789513549406
1.0,1.0,1.0,0.24170734456293982,0.3072716067920009,0.04,0.01,0.0,0.0,3.5489789513549406
1.0,1.0,1.0,0.24170734456184986,0.3072716055761745,0.04,0.01,0.0,0.01,3.5489789501380242
1.0,1.0,1.0,0.24170733527778554,0.30727156618307083,0.04,0.01,0.01,0.01,3.548978901460856
1.0,1.0,1.0,0.24170733527778554,0.30727156618307083,0.04,0.01,0.01,0.01,3.548978901460856
