rms1,rms2,rms3,corr12,corr13,corr23,plv_low_12,plv_mid_23,plv_high_13,pac_low_high_13,pac_low_mid_12,g12,g13,g23,lam
0.0012517973644853033,9.37703059244239e-06,1.3933136681706199e-06,-0.755267737765424,-0.9914958130976482,0.7855286433532682,1.0,1.0,1.0,0.0272887582832849,0.042093610593518314,0.0,0.0,0.0,0.0
0.0012517973644695047,9.377030413912247e-06,1.3933141882271898e-06,-0.7552677794899444,-0.9914958332724189,0.7855287744386854,1.0,1.0,1.0,0.02725954630001241,0.042506694475341444,0.0,0.0,0.0,0.01
0.0012517973644379954,9.377030056852886e-06,1.3933152283527704e-06,-0.7552678629387485,-0.9914958736215658,0.7855290366082357,1.0,1.0,1.0,0.027195531361208714,0.04333085067290386,0.0,0.0,0.0,0.03
0.0012517973644853033,9.374866958720976e-06,1.3917531331761135e-06,-0.755622473062887,-0.9915682543648168,0.7847597566563318,1.0,1.0,1.0,0.02728808610706608,0.04209227757862102,0.0,0.0,0.02,0.0
0.0012517973644695496,9.374866781663538e-06,1.3917536706374239e-06,-0.7556225143359193,-0.991568274594474,0.7847598888599203,1.0,1.0,1.0,0.026772395609290848,0.0440583672722721,0.0,0.0,0.02,0.01
0.0012517973644381288,9.37486642754627e-06,1.3917547455728528e-06,-0.7556225968817539,-0.9915683150533923,0.7847601532658016,1.0,1.0,1.0,0.026770476674044332,0.044228530061129916,0.0,0.0,0.02,0.03
0.0012517973644853033,9.371638010860119e-06,1.389566371247103e-06,-0.756149910623085,-0.9916697125413068,0.7836171099813133,1.0,1.0,1.0,0.027287078006712668,0.04209244670871721,0.0,0.0,0.05,0.0
0.0012517973644695923,9.37163783600484e-06,1.3895669348007368e-06,-0.7561499512229265,-0.991669732868491,0.7836172438187818,1.0,1.0,1.0,0.02717246605725876,0.04449519154790389,0.0,0.0,0.05,0.01
0.0012517973644383207,9.37163748629513e-06,1.3895680619203573e-06,-0.756150032422367,-0.9916697735224604,0.7836175114923992,1.0,1.0,1.0,0.02675596206065388,0.04487628582869359,0.0,0.0,0.05,0.03
0.0012517936550599197,9.377030592442442e-06,1.5742444406623424e-06,-0.75526801793192,-0.9942474024083624,0.802856498500537,1.0,1.0,1.0,0.027169212144771315,0.04450218590004033,0.0,0.02,0.0,0.0
0.001251793655045454,9.37703043834386e-06,1.5742456629554559e-06,-0.7552680527315647,-0.9942474060513992,0.802856573142666,1.0,1.0,1.0,0.02693107709072528,0.044817188206761026,0.0,0.02,0.0,0.01
0.0012517936550166368,9.377030130143176e-06,1.5742481075496863e-06,-0.7552681223306308,-0.9942474133373931,0.802856722426349,1.0,1.0,1.0,0.027174718517700695,0.04344224259462368,0.0,0.02,0.0,0.03
0.0012517936641942317,9.374921177052549e-06,1.575858568655322e-06,-0.7556081407247448,-0.9943388192968581,0.8023089884780957,1.0,1.0,1.0,0.027247957584904586,0.042881332123157215,0.0,0.02,0.02,0.0
0.001251793664179903,9.374921024412492e-06,1.5758598043336246e-06,-0.7556081750914863,-0.9943388229436654,0.8023090637321378,1.0,1.0,1.0,0.027254257949761072,0.04271226577438041,0.0,0.02,0.02,0.01
0.001251793664151209,9.374920719132736e-06,1.5758622756989374e-06,-0.7556082438247391,-0.9943388302371957,0.8023092142396284,1.0,1.0,1.0,0.027208693189280788,0.04324330478710232,0.0,0.02,0.02,0.03
0.0012517936778936448,9.371773491449875e-06,1.578413388654043e-06,-0.7561137654814604,-0.9944708368220144,0.801492566777723,1.0,1.0,1.0,0.02803234199829437,0.04307790454342985,0.0,0.02,0.05,0.0
0.001251793677879397,9.371773340995317e-06,1.578414644233077e-06,-0.7561137992024158,-0.994470840483569,0.801492642930519,1.0,1.0,1.0,0.0272510008202443,0.04228197866016227,0.0,0.02,0.05,0.01
0.0012517936778508004,9.371773040089526e-06,1.578417155398997e-06,-0.7561138666441011,-0.9944708478065966,0.8014927952355146,1.0,1.0,1.0,0.026750343604567545,0.04464285182133147,0.0,0.02,0.05,0.03
0.0012517886057547578,9.377030592442544e-06,2.0468217852161054e-06,-0.755268539420661,-0.9944850369323746,0.8156908633019806,1.0,1.0,1.0,0.0267627298716239,0.044794384041389274,0.0,0.05,0.0,0.0
0.0012517886057424234,9.37703047498711e-06,2.046823604388688e-06,-0.7552685638331912,-0.9944850360329078,0.8156909023460348,1.0,1.0,1.0,0.026752199419273003,0.044987330261692667,0.0,0.05,0.0,0.01
0.0012517886057176297,9.377030240077488e-06,2.046827242737933e-06,-0.7552686126580204,-0.9944850342339643,0.8156909804338227,1.0,1.0,1.0,0.026766302614703717,0.04465732813589422,0.0,0.05,0.0,0.03
0.0012517886285905342,9.375002506669018e-06,2.051514162954187e-06,-0.7555867401890827,-0.9945839717483501,0.8153388279730405,1.0,1.0,1.0,0.02724646038469501,0.04313362795972404,0.0,0.05,0.02,0.0
0.0012517886285783807,9.375002390659396e-06,2.0515159889751418e-06,-0.7555867641927778,-0.9945839708130373,0.8153388672275881,1.0,1.0,1.0,0.027141420150966995,0.04477531090083382,0.0,0.05,0.02,0.01
0.0012517886285535523,9.375002158641434e-06,2.051519641020488e-06,-0.7555868121999445,-0.9945839689424012,0.8153389457363684,1.0,1.0,1.0,0.02677648080277087,0.043871999942484745,0.0,0.05,0.02,0.03
0.0012517886628392527,9.371976728979235e-06,2.058635522789324e-06,-0.7560596279439604,-0.9947290832344636,0.8148119244341115,1.0,1.0,1.0,0.027202239879247525,0.04350864723389266,0.0,0.05,0.05,0.0
