rms1,rms2,rms3,corr12,corr13,corr23,plv_low_12,plv_mid_23,plv_high_13,pac_low_high_13,pac_low_mid_12,g12,g13,g23,lam,objective
0.0012517449346769,8.751290857887778e-06,1.3933136681706686e-06,-0.862823042314085,-0.9914957920937604,0.8798920750984054,1.0,1.0,1.0,0.0636845718866527,0.0752390658554568,0.05,0.0,0.0,0.0,3.1389236377421095
0.0012517412398397,8.749399717066755e-06,1.575655659466056e-06,-0.8629837487847033,-0.994338306400698,0.8950561456863453,1.0,1.0,1.0,0.0274579931237443,0.0473341770855786,0.05,0.02,0.02,0.0,3.074792170209323
0.0012517761667111,9.10458646034205e-06,1.393315148063058e-06,-0.8122563467708102,-0.9914958613498523,0.836078773999275,1.0,1.0,1.0,0.0271467997610098,0.0454028055339967,0.02,0.0,0.0,0.03,3.0725496052950065
0.001251788662827,9.37197661513771e-06,2.0586373589372604e-06,-0.7560596513373129,-0.9947290822501677,0.8148119639975084,1.0,1.0,1.0,0.0271457747494417,0.0452243898502398,0.0,0.05,0.05,0.01,3.0723701645996817
0.0012517761689847,9.102508042353738e-06,1.3917131054902126e-06,-0.8125089950999134,-0.991566008733446,0.835323383672917,1.0,1.0,1.0,0.0271435829548305,0.0451540137894005,0.02,0.0,0.02,0.0,3.072297596744231
0.0012517362462148,8.746711574673607e-06,2.0579266263004524e-06,-0.8632069734879937,-0.994732561199883,0.905967981322152,1.0,1.0,1.0,0.0271635445033235,0.0450834062264437,0.05,0.05,0.05,0.01,3.072246950729767
0.0012517449401982,8.749360809531855e-06,1.3916544956930817e-06,-0.8629881705346062,-0.9915626769884586,0.8791718885785155,1.0,1.0,1.0,0.0271465263540029,0.0448916333709797,0.05,0.0,0.02,0.03,3.0720381597249826
0.0012517886285783,9.375002390659396e-06,2.0515159889751418e-06,-0.7555867641927778,-0.9945839708130372,0.8153388672275881,1.0,1.0,1.0,0.0271414201509669,0.0447753109008338,0.0,0.05,0.02,0.01,3.0719167310518007
0.0012517361758973,8.75129640925306e-06,2.046779314518881e-06,-0.8628230309819082,-0.994485254365686,0.906854609845214,1.0,1.0,1.0,0.0271398727764308,0.0447435002574473,0.05,0.05,0.0,0.0,3.071883373033878
0.0012517724855748,9.099524023571857e-06,1.5782184088478703e-06,-0.812863572589148,-0.9944702283144702,0.8513055400835375,1.0,1.0,1.0,0.0267667912886722,0.0451148387497429,0.02,0.02,0.05,0.03,3.071881630038415
0.0012517361758608,8.751296073308712e-06,2.0467842872098324e-06,-0.8628230732675765,-0.9944852554592912,0.90685465714925,1.0,1.0,1.0,0.0271684537719903,0.0446755311146905,0.05,0.05,0.0,0.03,3.071843984886681
0.0012517936550454,9.37703043834386e-06,1.574245662955456e-06,-0.7552680527315647,-0.9942474060513992,0.802856573142666,1.0,1.0,1.0,0.0269310770907252,0.044817188206761,0.0,0.02,0.0,0.01,3.071748265297486
0.0012517886057424,9.37703047498711e-06,2.046823604388688e-06,-0.7552685638331912,-0.9944850360329078,0.8156909023460348,1.0,1.0,1.0,0.026752199419273,0.0449873302616926,0.0,0.05,0.0,0.01,3.0717395296809658
0.0012517412398257,8.74939958495596e-06,1.5756567743585163e-06,-0.8629837650402101,-0.9943383094345746,0.8950561804682217,1.0,1.0,1.0,0.0267601308474124,0.0449529133161427,0.05,0.02,0.02,0.01,3.071713044163555
0.0012517936550599,9.377030592442442e-06,1.5742444406623424e-06,-0.75526801793192,-0.9942474024083624,0.802856498500537,1.0,1.0,1.0,0.0271692121447713,0.0445021859000403,0.0,0.02,0.0,0.0,3.0716713980448116
0.0012517973644695,9.37163783600484e-06,1.3895669348007368e-06,-0.7561499512229265,-0.991669732868491,0.7836172438187818,1.0,1.0,1.0,0.0271724660572587,0.0444951915479038,0.0,0.0,0.05,0.01,3.0716676576051625
0.0012517362461907,8.746711355512836e-06,2.057929972755533e-06,-0.8632070010525859,-0.9947325616112614,0.90596801438561,1.0,1.0,1.0,0.0271644590869151,0.0444949678843954,0.05,0.05,0.05,0.03,3.0716594269713107
0.0012517761722693,9.099404379407244e-06,1.3894646410826437e-06,-0.8128851232380072,-0.9916640533670152,0.8342003804655187,1.0,1.0,1.0,0.0267573109375668,0.0448923334812162,0.02,0.0,0.05,0.03,3.071649644418783
0.0012517412397976,8.749399320737432e-06,1.5756590041509516e-06,-0.8629837975511736,-0.9943383155022856,0.8950562500317636,1.0,1.0,1.0,0.0267602225376687,0.0448785319228194,0.05,0.02,0.02,0.03,3.071638754460488
0.0012517973644383,9.37163748629513e-06,1.3895680619203573e-06,-0.756150032422367,-0.9916697735224604,0.7836175114923992,1.0,1.0,1.0,0.0267559620606538,0.0448762858286935,0.0,0.0,0.05,0.03,3.0716322478893474
0.0012517886057547,9.377030592442544e-06,2.0468217852161054e-06,-0.755268539420661,-0.9944850369323746,0.8156908633019806,1.0,1.0,1.0,0.0267627298716239,0.0447943840413892,0.0,0.05,0.0,0.0,3.071557113913013
0.0012517674703924,9.099703821115952e-06,2.0583511994250976e-06,-0.8128312761534037,-0.9947304706222372,0.8638779362366273,1.0,1.0,1.0,0.0271688585497388,0.0443105407692084,0.02,0.05,0.05,0.0,3.0714793993189473
0.0012517674079731,9.104589271478956e-06,2.046809990730313e-06,-0.8122565861860254,-0.9944851178488532,0.8647812446374956,1.0,1.0,1.0,0.0267677599827331,0.0446715943898105,0.02,0.05,0.0,0.03,3.0714393543725436
